Date,Inflows  (m3/s),Inflows Tributary (m3/s),Inflows Tributary (m3/s)
1/10/24 7:00	,	250	,	151.6351316	,	30
1/10/24 8:00	,	250	,	149.6777206	,	30
1/10/24 9:00	,	250	,	149.7372707	,	30
1/10/24 10:00	,	250	,	149.7882448	,	30
1/10/24 11:00	,	250	,	149.8306748	,	30
1/10/24 12:00	,	250	,	149.8815331	,	30
1/10/24 13:00	,	250	,	149.9492465	,	30
1/10/24 14:00	,	250	,	150.0168489	,	30
1/10/24 15:00	,	250	,	150.0759106	,	30
1/10/24 16:00	,	250	,	46.96612305	,	30
1/10/24 17:00	,	250	,	26.47421101	,	30
1/10/24 18:00	,	250	,	26.36273535	,	30
1/10/24 19:00	,	250	,	26.62263334	,	30
1/10/24 20:00	,	250	,	150.0337323	,	30
1/10/24 21:00	,	250	,	150.2357986	,	30
1/10/24 22:00	,	250	,	150.2357986	,	30
1/10/24 23:00	,	250	,	150	,	30
1/11/24 0:00	,	240	,	140.525422	,	30
1/11/24 1:00	,	240	,	140.496655	,	30
1/11/24 2:00	,	240	,	140.4822776	,	30
1/11/24 3:00	,	240	,	132.2739434	,	30
1/11/24 4:00	,	240	,	128.7490741	,	30
1/11/24 5:00	,	240	,	128.7359063	,	30
1/11/24 6:00	,	240	,	120	,	30
1/11/24 7:00	,	240	,	120	,	30
1/11/24 8:00	,	240	,	120	,	20
1/11/24 9:00	,	240	,	120	,	20
1/11/24 10:00	,	240	,	120	,	20
1/11/24 11:00	,	240	,	120	,	20
1/11/24 12:00	,	240	,	100	,	20
1/11/24 13:00	,	240	,	100	,	20
1/11/24 14:00	,	240	,	100	,	20
1/11/24 15:00	,	240	,	100	,	20
1/11/24 16:00	,	240	,	100	,	20
1/11/24 17:00	,	240	,	100	,	20
1/11/24 18:00	,	240	,	100	,	20
1/11/24 19:00	,	240	,	100	,	20
1/11/24 20:00	,	240	,	100	,	20
1/11/24 21:00	,	240	,	100	,	20
1/11/24 22:00	,	240	,	100	,	20
1/11/24 23:00	,	240	,	100	,	20
1/12/24 0:00	,	240	,	100	,	20
1/12/24 1:00	,	240	,	120	,	20
1/12/24 2:00	,	240	,	120	,	20
1/12/24 3:00	,	240	,	120	,	20
1/12/24 4:00	,	240	,	120	,	20
1/12/24 5:00	,	240	,	120	,	20
1/12/24 6:00	,	240	,	120	,	19.93678784
1/12/24 7:00	,	240	,	120	,	20.15348959
1/12/24 8:00	,	240	,	120.0830937	,	39.69023664
1/12/24 9:00	,	250	,	120.2318794	,	39.66068751
1/12/24 10:00	,	250	,	120.2810839	,	39.84602386
1/12/24 11:00	,	250	,	120.4830682	,	39.907678
1/12/24 12:00	,	250	,	120.003044	,	20
1/12/24 13:00	,	250	,	110	,	20
1/12/24 14:00	,	250	,	110	,	20
1/12/24 15:00	,	250	,	110	,	20
1/12/24 16:00	,	250	,	110	,	20
1/12/24 17:00	,	249.7498169	,	113.208252	,	19.44660187
1/12/24 18:00	,	250.3532562	,	112.2815552	,	19.72932816
1/12/24 19:00	,	251.1278687	,	111.5266571	,	20.03163528
1/12/24 20:00	,	251.024765	,	111.2462463	,	20.04294014
1/12/24 21:00	,	250.7679138	,	109.8266296	,	19.6302166
1/12/24 22:00	,	250.3666687	,	108.4998932	,	19.36573601
1/12/24 23:00	,	250.8096619	,	107.4984436	,	19.39075089
1/13/24 0:00	,	251.2567902	,	107.4828186	,	19.82082748
1/13/24 1:00	,	250.0673676	,	106.0731964	,	18.37533379
1/13/24 2:00	,	250.3989563	,	104.9227295	,	18.43919563
1/13/24 3:00	,	250.8579254	,	104.2113419	,	18.42322159
1/13/24 4:00	,	250.9341583	,	103.6960831	,	18.3431797
1/13/24 5:00	,	251.2064056	,	102.1906967	,	17.92531013
1/13/24 6:00	,	251.546051	,	100.8135986	,	17.59860229
1/13/24 7:00	,	252.1749268	,	99.74277496	,	17.58716583
1/13/24 8:00	,	252.5870056	,	99.3314209	,	17.97431183
1/13/24 9:00	,	252.0748596	,	97.07705688	,	17.02796364
1/13/24 10:00	,	251.8896332	,	96.00333405	,	16.96639061
1/13/24 11:00	,	251.8730621	,	95.77707672	,	16.84215355
1/13/24 12:00	,	251.4132538	,	95.13502502	,	16.63758278
1/13/24 13:00	,	251.0403442	,	93.86250305	,	16.16438675
1/13/24 14:00	,	250.9877319	,	93.15865326	,	15.78512955
1/13/24 15:00	,	251.1802368	,	92.18914795	,	15.67368221
1/13/24 16:00	,	251.1850128	,	91.75344849	,	16.01749229
1/13/24 17:00	,	253.1791992	,	88.65834045	,	16.67133904
1/13/24 18:00	,	253.1355591	,	87.38400269	,	16.54792786
1/13/24 19:00	,	253.0892029	,	86.74968719	,	16.36974716
1/13/24 20:00	,	252.859848	,	86.20462036	,	16.15458679
1/13/24 21:00	,	252.9334869	,	85.61870575	,	15.67049408
1/13/24 22:00	,	253.0270996	,	84.87226105	,	15.31278706
1/13/24 23:00	,	253.3228149	,	84.13672638	,	15.19664574
1/14/24 0:00	,	253.5971985	,	83.04976654	,	15.51676846
1/14/24 1:00	,	254.3041382	,	83.57380676	,	16.33447266
1/14/24 2:00	,	253.6409607	,	81.77970123	,	16.26728821
1/14/24 3:00	,	253.3829956	,	80.67017365	,	16.15729904
1/14/24 4:00	,	252.5579224	,	80.11024475	,	15.99164104
1/14/24 5:00	,	252.0428467	,	79.46312714	,	15.54143143
1/14/24 6:00	,	252.1734772	,	78.96801758	,	15.18072224
1/14/24 7:00	,	252.2707825	,	78.18346405	,	15.08601475
